rc_11,rc_14,rc_15,rc_26,rc_37,profit
0.356,0.638,0.789,0.354,0.593,28.402251554966284
0.319,0.539,0.478,0.783,0.565,29.494705063771978
0.41,0.268,0.291,0.335,0.351,17.862701656372202
0.71,0.537,0.514,0.269,0.716,20.074225827584108
0.634,0.241,0.625,0.526,0.249,15.113410369024363
0.475,0.491,0.299,0.767,0.71,25.477196155608198
0.601,0.477,0.447,0.591,0.527,29.14701112864221
0.237,0.508,0.684,0.476,0.231,19.34109905844548
0.672,0.321,0.355,0.299,0.398,18.25088175852274
0.654,0.512,0.323,0.727,0.728,26.799402436174937
0.722,0.343,0.471,0.791,0.663,23.944438860067795
0.216,0.239,0.478,0.746,0.523,15.884602594727575
0.499,0.263,0.594,0.693,0.428,17.989391902747027
0.665,0.779,0.322,0.514,0.372,25.520798107590817
0.676,0.547,0.581,0.679,0.438,28.97294563466509
0.749,0.52,0.295,0.618,0.676,26.742797535142017
0.39,0.714,0.744,0.366,0.79,26.339501758130474
0.284,0.321,0.311,0.736,0.593,20.412546279807405
0.291,0.464,0.569,0.25,0.729,18.669222539453305
0.682,0.503,0.78,0.451,0.79,30.390436756017
0.601,0.581,0.3,0.729,0.456,23.399353320135113
0.297,0.208,0.536,0.516,0.632,17.10874010049392
0.734,0.248,0.639,0.312,0.715,16.8486391116659
0.691,0.524,0.626,0.389,0.483,27.642897118697057
0.693,0.476,0.415,0.497,0.697,27.15926547938546
0.401,0.304,0.627,0.696,0.26,18.866905338190293
0.344,0.285,0.409,0.47,0.649,20.194707803589516
0.591,0.573,0.411,0.705,0.483,28.33361611659467
0.787,0.58,0.276,0.606,0.395,23.359014724217648
0.612,0.242,0.305,0.713,0.336,14.883581189181207
0.702,0.368,0.586,0.616,0.508,23.852132825294575
0.383,0.328,0.22,0.382,0.592,17.747879450802664
0.763,0.723,0.66,0.673,0.599,37.68212828354351
0.356,0.744,0.602,0.536,0.267,21.279007782836636
0.468,0.476,0.719,0.528,0.428,27.39228568782057
0.786,0.266,0.454,0.225,0.644,15.391095842265024
0.751,0.368,0.715,0.375,0.746,23.640076077629747
0.652,0.683,0.211,0.778,0.636,31.085280453771826
0.383,0.698,0.369,0.724,0.268,20.935840443057025
0.622,0.524,0.258,0.345,0.207,15.184650848459608
0.481,0.381,0.559,0.378,0.38,23.179998798254978
0.646,0.229,0.742,0.711,0.601,17.60031657610512
0.556,0.735,0.311,0.247,0.344,18.331213939683884
0.677,0.221,0.55,0.797,0.713,17.43249052896715
0.513,0.238,0.699,0.559,0.269,15.607723010837814
0.256,0.746,0.602,0.698,0.727,31.52358988155351
0.543,0.51,0.458,0.39,0.461,28.19930073120486
0.664,0.561,0.736,0.466,0.564,31.243151198189096
0.579,0.555,0.622,0.342,0.507,25.33696840857029
