ID,rc_11,rc_14,rc_15,rc_26,rc_37,threshold,prediction
29,-1.0,0.0,0.0,0.0,0.0,-0.32850100262260434,26.105672209306412
29,0.0,0.0,0.0,0.0,-1.0,-0.5600010023841858,26.105672209306412
29,0.0,1.0,0.0,0.0,0.0,0.6225000023841858,26.105672209306412
30,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,29.79040081419923
30,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,29.79040081419923
30,0.0,0.0,0.0,0.0,-1.0,-0.4035010056028366,29.79040081419923
30,0.0,0.0,1.0,0.0,0.0,0.4349999874830246,29.79040081419923
30,-1.0,0.0,0.0,0.0,0.0,-0.32850100262260434,29.79040081419923
30,0.0,0.0,0.0,0.0,-1.0,-0.5600010023841858,29.79040081419923
30,0.0,-1.0,0.0,0.0,0.0,-0.6225010023841858,29.79040081419923
31,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,24.658721657969757
31,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,24.658721657969757
31,0.0,0.0,0.0,0.0,-1.0,-0.4035010056028366,24.658721657969757
31,0.0,0.0,-1.0,0.0,0.0,-0.43500098748302457,24.658721657969757
31,1.0,0.0,0.0,0.0,0.0,0.30249999463558197,24.658721657969757
31,0.0,0.0,0.0,0.0,1.0,0.6239999830722809,24.658721657969757
32,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,27.447680756571348
32,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,27.447680756571348
32,0.0,0.0,0.0,0.0,-1.0,-0.4035010056028366,27.447680756571348
32,0.0,0.0,-1.0,0.0,0.0,-0.43500098748302457,27.447680756571348
32,1.0,0.0,0.0,0.0,0.0,0.30249999463558197,27.447680756571348
32,0.0,0.0,0.0,0.0,-1.0,-0.6240009830722809,27.447680756571348
